N3042022	3439 7022 3439
N9230405	1034 2861 1906 7171 6241 3948 5275 296 296 7499 272 1910 1910 6219 1672 437 5303
N9230411	2582 6909 5310 4687 2852 8324 8500 3698 1928
N9230665	8072
N9230692	5762 8072
N9231585	8029 4841 6712 3440
N9231639	3847 5219 8280 5324 4587 4468 8471 3819 4361 8476
N9231827	7527 5310 4339 7499 1492 7932
N9231841	8056 1137
N9231871	4834 2285
N9231873	2292 6176 2021 7927 4841 7973 3440
N9231937	689
N9232127	5310
N9232145	4071 4708 1740 6098 1150 6422 4841 7347 3440 8202
N9232208	1608 7231 4597
N9232293	1814 3617 6026 7254 3284 4185 7477 1163 8202
N9232589	856
N9232699	7425 6163 6471 8324 236 6712 3440
N9232724	3111 6043 3102
N9232942	4137 2291 5310 8038 2354 1202 7275 6091 6590 4468 7499 4965 5175
N9233208	4013 4550 3764 7621 2826 2826 7286 2447 4013 4550 2814 3764 7621 2826 2826 7286 2447
N9233223	3500 1577
N9233348	4550 6176 383 2720 4274 7780 1572 1524 1524 4820 7653 7653
N9233353	1579 5197 5136 5136 3093 4868
N9233408	7425 5011 5011 7958 6471 5841
N9233706	3662
N9234412	1476 5337 2255 6091 3504 5578 7499 437
N9234466	6588
N9234542	2495 4715 6930
N9235947	4715 7499 7792 7792 4583 2339
N9235972	8311 544 7569
N9236004	4550 3948 2632 1910 3963 1549
N9236100	3388 5597 424 6932
N9236101	6909 5310 7171 4500 7499 2454 282 4841 5812 3440 6932 4690
N9236147	7389 6471 7653 7042
N9236200	2450 5310 4463
N9236380	5973
N9236598	4274
N9236653	7389
N9236926	7315 5310
N9237295	7389 6853 4645
N9237505	155 3396 5310 3656 4686 4468 3068 1724
N9237516	3094 7029 5112
N9237765	8487 4686 4468 3068 1724
N9238131	5549 7499 7836
N9239408	81 1872
N9239545	7389 8338
N9239697	3440
N9240175	6577 8029 2127 7772 4468 4833 7927 5442 4841 6712 7396 437 3440 3440 8202
N9240302	3074 7818
N9240358	636
N9240389	8251 5967 4288 2599 4055 5768
N9240527	7836
N9240750	6871 282 4841 3832
N9240824	7653 7653 2514
N9241108	999 3587 3123 8314 8487 7087 4841 6294 6459
N9241111	5310 744 4841
N9241645	4013 3764 2154 7121 5189 3894 7042 7042 6682
N9242051	4463
N9242155	2374 360 7366 8324 967 8202
N9242245	5310 1412
N9242326	7171 7969
N9242680	941 5299 5299 6611 677 3367 7499 2061 3796 8202 1333 7746 941 5299 5299 6611 677 3367 7499 2061 3796 8202 1333 7746
N9242691	5868 1654 7166 6421 8202 5735
N9242784	3605
N9243126	7840
N9243578	6127 1542 6295 1649
N9243640	3440
N9243885	6462 1577
N9244446	3601 6206 6279
N9244524	4243 2499 487 3161 1542
N9244532	7501 5310 3492 5197 4868 3104 4307 5768
N9245384	5310 7171 2977 4468 7754 3918
N9245848	6581 4868 3653 3653 2856
N9246106	2489 5310 2374 5978 3886 6451 6451 6451 372 6592 2822 437 8202
N9246254	6198 785 195 4550 3718 3764 1015 7499 7121 2751 450
N9246519	4281
N9246788	2430
N9246810	7527
N9246961	7653 7653
N9246998	5628 3265 2374 8512 6176 3492 250 6941 6552 3093 2281 3479 4241 2209 167 7396 8202 3923
N9248034	3500 7499 6940 7030 7499 6940
N9248053	6219
N9248193	5310 2500 1492
N9248464	387 387 8091 7499 7899 7899 1524 7836
N9248489	3886 7475
N9249676	1577 7715
N9249893	5073 5039 7380 2108 348 960 3440 5073 5039 7380 2108 348 960 3440
N9249902	7917 8125 6307 6176 362 2298 3267 7115 7462 7663 2939 2072
N9249923	7233 555 698 6298 1078 2279 81 1446 4197 1257
N9250459	7527 7729
N9250745	5047 7115
N9250958	7936 6176 6098 7380 4841 5929 8202 7423 6176 6098 7380 4841 5929 3440 8202 7423 3832
N9251034	3094
N9251369	3117 544 4841
N9251397	4946 1577 2665
N9251468	6980 7499 7836 437 6980 7499 7836 437
N9251472	6054 5972 1566 5513 2021 6098 8087 282 4841 3440 8202
N9251637	1906 6452 4409 220 3416
N9251878	6336
N9251912	8411 8411
N9251930	8311 7491 4715 2163
N9251935	6834 224 5768 437
N9251944	5337 3689 2127 2595 1577 4189 7715 7396
N9252007	1034 5310 351
N9252084	5310 1745 5615 5615 7384
N9252426	6060 4274
N9252568	2019
N9252673	3150 3600 6176 3432 7466 5804 7248 2815
N9253085	6511 960 3659 6511 960
N9253406	3030 3872
N9254528	7499 7899 6940
N9255413	7499 7899 6940
N9255488	504 1129 2951 4517 3440
N9255617	6496 1416 6079 5310 7770 1229 6176 5978 7608 7380 2638 7579 744 4841 3440
N9255796	6219
N9255967	3708 3708 1577
N9256016	6682
N9256039	1906 5310 4715 6025 3439 6739
N9256058	7499
N9256071	5566 2176 6054 5972 3370 1566 5513 6098 8087 7380 4841 3832
N9256187	7899
N9256316	6091 1492
N9256612	5299 1877 518
N9256678	2374
N9256841	6216 7499 6896 3754
N9256914	2374 635
N9257129	3903 6216 3189
N9257224	1358 1225 5310 5597
N9257300	7233 3386 555 5310 7171 698 6298 1078 2279 2279 294 81 1446 1162 4197 1257 7396 5084
N9257304	5064 7034 6780 2193 2789
N9257440	5310 7350 4880 5108 5108
N9257481	5310 2374 2163 2546 5978 1658 7380 7579 3282 4841 5146 5768 348 437 3440 3832
N9258124	2599
N9258252	7729 5795 1316 3440
N9258482	5856 5331 94
N9258539	3915 3094 2163 4698 8112 4583 6932
N9258570	1906
N9258822	1993 3689 2298 1577 3134 2061 3875 2856 660
N9259013	195 4550 4550
N9259268	4691 785 5913 3233 4274 6219 1572 4372
N9259295	5310 4900 6184 7396
N9259418	3656 8487 3068 2734 5639
N9259885	3587 2132 442 7608 4309 4663 6294 5149 2856
N9259981	4013
N9260767	3598 5419 7145 5310 5701 7499 4916 3104
N9261043	3440
N9261228	7171 1577
N9261390	5310 6215 3685 4841
N9261465	1767 78
N9261888	7499 2697 4588
N9262019	3202 4597
N9262223	3532 5310 7747 6091 7401 5807 5884 6940 8202
N9262372	2416 677 7499 5117
N9262491	7389 2176 2430 5745 7499 2454
N9262775	715 5979 5979 5947 3689 5363 4058 4375 4707 7016 6684 7913 6713
N9262996	7389
N9263713	5310 7029 1572 8202
N9263807	6176
N9264493	7130 24
N9264511	2826 7499
N9265000	6094 148 2127 5342 7463 1829 5557 5204 8202
N9265218	7396
N9265782	1225 3764 8110
N9265889	3764 1524
N9266236	3093
N9266259	2736 5310 5913 7499 5150 4690
N9266325	5310 2374 3218 7396
N9266527	7530
N9266546	78 7625
N9266573	78
N9266683	1752
N9266698	1993 4590 7105 6176 5197 5197 6941 8391 7352 3093 4868 2061 4547 2856 3923 3597
N9266699	7389 383 8091 7042
N9266727	5708 1764
N9266824	6327 6302 8215 847 682 7748
N9267129	1691 2127 5046 6712
N9267771	2443 3340 5546 6576 4699 4101 2580 4623 2328
N9267783	3094 2952 2880 3652
N9267839	5310 2972 1888
N9267942	1404 282 4841
N9268234	1015 7818 2626
N9268293	7527 8258
N9268309	5310 2374 4790 7663
N9268656	332 4686 79 7663 2734 8202
N9268663	7499 8202
N9269135	4787 2306 4852 672 5113 6176 7724 6255 8189 2826 5146 3369 7653
N9269195	3529 8029 631
N9269424	6496 6015 6638 3455 7756 4133 97 97 5768
N9269428	2856
N9269572	5310 7499 5274 4624
N9269593	4329 1163 7396 8202
N9269750	367 2826 1888
N9269793	5310
N9270170	2405 727 1473
N9270257	1327
N9270313	3764 7234
N9270363	1974 7501 2374 2770 6941 7450 8472 8202
N9270996	2021 4841 7396 3440 5641
N9271152	4928
N9271202	4071 5310 2163 6176 4559 7941 802 8324 3573 372 5442 4841 6580 4814 8202 5445
N9271255	5310 8324 7663 3965
N9271537	5382 7171 2972 2972 5365 5404 5404 6476
N9271716	3102 1554 1991 7432 3729 6318 5049 6245
N9272213	5337 6471 7663
N9272258	3488 8202 5769
N9272340	6912 6940
N9272413	7899 6940
N9272456	7527 7585 5310 4583 2856 2328
N9272585	6238 6471 2754 7115 2061 7663
N9272602	6312 5686 788
N9272656	2374
N9272743	367
N9272747	3780
N9272772	4013 3764 3462 5357 3104 6229 6229 5508 6682
N9272865	7371 4272 193
N9273252	7501 6744 4949 2796
N9273904	7527 5310 7499
N9273966	4620
N9275045	7397 3386 2195 3367 3731 5814 460 202 2279 7485 724
N9275683	999 5403 4319 2374 8237 7663 513
N9275787	1661 1733 5519
N9275929	194
N9275936	6576 229
N9275978	3040 1122 2073
N9276096	4555 3590 5403 5403 2471 6746 4790 8237 1717
N9276134	503 19 744 4841 3440 4911
N9276139	744
N9276161	4085 2255 2145 3464 3464
N9276263	7171 7569 2190
N9276309	3781 7969
N9276333	2722 5310 5123
N9276366	7499 6592 4170
N9276518	3493
N9276542	8140
N9276554	6421
N9276635	5510 2079
N9276720	3605
N9276746	4274
N9277339	5310
N9277601	5310
N9277684	3928 4559 6413 3573 744 6539 6539 4841 2856 3440 3658 3658
N9277706	2866 2247 2247 4410 591 554 3479
N9278752	2049
N9278969	5979 5979 5310 2127 2430 3711
N9279095	2819 6382 5310 1474 2524 2054 7255 81 7836 1600
N9279128	8056 1137 751
N9279277	5451 4550 8412 1778
N9279338	2794 5310 7770 2163 6176 5978 7251 4468 6361 6361 967 4841 5768 437
N9279451	785 195 4550 5913
N9279554	4559 7251 6413 802 4763 8324 4044 4128 3328 282 4841 437
N9279653	999 5529 4013 4550 2794 7521 5310 5337 6513 3508 4416 2197 4820 7653 7653 4264 6621 7042
N9280359	3500 1707
N9280497	2176 1906 2669 7302 437
N9280961	7663
N9281062	3590 7663
N9281193	3500 3709 6535 5310 4439 2869 437 8202 4643
N9281322	244 2067 4103 2856
N9281821	2794 5310 6176 5978 7251 6361 967 4841 437 6932
N9281899	966 6434 5331 94
N9282438	4013 4403 688 5310 5337 3104 5768
N9282489	7390 1155
N9282912	1631 1906 8168 7407
N9282945	507 5310 8218
N9283046	4715 1577 5147 7396
N9283073	195 5913
N9283100	7389 5310 1066 7499 8324 2447 1614
N9283221	918
N9283241	3386 8202
N9283420	6176 282 4841 437 3440 3832
N9283690	2736 2756 3193 3510 8316 2298 1460
N9284332	8011 1577
N9284471	1086 570 6281 4231 5612 3605 1577 1205 4386 1568 388
N9284704	918 5929
N9284777	1659 8525 1745 4891 1335 6268 1402
N9285230	2736 406 6176 3893 28 6712 7101
N9285363	7389 7171 2972
N9285770	5310 6266 803
N9286017	1577
N9286127	7396
N9286630	8359 758
N9286805	4687 6743 7499 4274 3787
N9287002	6682
N9287058	3708 5310 1577
N9287091	3493 1460 5840
N9287128	4622 4622
N9287132	5310 4715
N9287256	2882 5310 3104 5768 4170
N9287294	7499 1339
N9287396	2370 6165
N9287439	6091
N9287533	5310 1015
N9287585	5452
N9287602	7389
N9287614	4013 5310 7499 6933 1524 7653 2734 7042 5639
N9287722	5969
N9287792	5310 7975
N9287808	2952
N9287897	5310 2638
N9287933	7039 7247 3822 4686 2127 3068 1724 2734 5789
N9287989	8029 6912
N9288043	377 3590 2374 8237 1846 492
N9288217	6466 5310 5708 6951 4058 4058 7663 236 3732 5639 2031 5789
N9288550	785 195 8219 1572
N9288623	8527 7499 252
N9288626	8239 7672 4783 4783
N9288703	785 8316 677 7836 1102
N9288740	6940
N9288827	3386 1906 4082 8202 546
N9289450	7902 4899 7663 1029 5413 3440 3108
N9289867	5849 738 7171 81
N9289946	8311 5310 8533 6268
N9289997	721 5310 2163 278
N9290017	2320 7346
N9290487	5913 4383 1066 8229
N9290559	7527 790 6159
N9290961	7917 4550 6176 383 7200 7121 6378 1524 1524 7653 7042 7103
N9291023	2006 2270
N9291556	4727 5310 5337 8110 8502 6124 8419 1904 5527 2212 1310
N9291739	7527 5310 7499 4928 1123 643 8202
N9291828	999 4383 4383 1066
N9291895	4619 6471
N9292140	4550 5913
N9292537	5310 7499
N9292641	8526 8029
N9292820	6647 3386 1577 5367
N9292873	2890 7171 7499 4055
N9293016	5310 2374 3440
N9293171	4719 4719
N9293175	7005 1866 7234 4686 1414 3403 1752 4841 7484 7653
N9293176	8311 5310 4899 8120 6933 81 4463 1872 4690 2190
N9294118	5310 2127 7499 6951 2761 2729 7776
N9294905	3708 559
N9294932	5310 4588 3104 5278 3440
N9295144	5197 2524 3170
N9295357	5310 220 2079
N9295542	4785
N9295621	4222 1577 3860
N9295693	1137
N9295706	4928
N9295790	8316 5682 728
N9295799	7474 5518 5197 2127 6941 6581 3093 2061 6686 6343 3440 8202 4224
N9296132	6035 8406 5201 2189 1577 1799
N9296229	250 6941 1577 3093 5027
N9296231	765
N9296263	7389 7917 2372 715 2752 3104 6675 1524 7653 7042 6682
N9296270	1371 6978 2652 7171 1577 1632 5567
N9296435	7072 108 3729 8422 7206 5367 7396 2383
N9296823	582 5305 5305 7300 8466
N9297027	6813 1822 2929 1870
N9297041	8316 78
N9297223	412
N9297333	999 4550 5310 3764 1300 4820
N9297565	1906 5265 5310 2374 6176 2127 4468 6951 7286 2856 5768 437
N9297624	8245
N9297687	6683
N9297712	7499
N9297720	3496 5310 7136 4239 6618
N9297752	7714
N9297841	2374 6941 5136 494 3222
N9298026	7499
N9298345	7527
N9298993	5310 4188 971
N9299065	3656 4715 5593 2127 7499 7663 2826 6219 7653
N9299247	7499 3189 7446
N9299283	5337 4686 2127 6904 8173 3573 372 2856
N9299627	7499
N9299640	3899 1906 7166 3464 3464
N9299690	4691 7925
N9299724	5708
N9299778	7499 7030 7499 7030
N9299886	3311 6091 7499
N9300141	7290
N9300219	5451 1194 5310 7499 1687 1198 4274 2751 78
N9300448	5310 2495 5978 2127 2826 7404
N9300453	4715 7530 640 5240
N9300489	5310 2374 6454 3772 6587 5411 2856
N9300787	1168 2682 1205
N9301117	3094 4715 1577 3439
N9301129	7389
N9301206	3456 5310 2869
N9301207	7715 4322
N9301240	2176 4027 6909 2163 7907 7380 4841 5569 8202 546
N9301306	5310
N9301505	2163
N9301662	6592
N9302111	7855 7157 8372 6124
N9302120	1950 6124 101
N9302324	2068 2129 305 5432 8324 8072 6712 3700 5768 8202 5434
N9302456	7627 7573 8202 7103 1835
N9302495	1579 6577 5310 7499 4274 8202
N9302566	5791 7214 2127 4687 3886 2298 1066 7499 1640 3662 1752 3727 1542 437 2245 5791 7214 2127 4687 3886 2298 1066 7499 1640 3662 1752 3727 1542 437 2245
N9302582	6634 7171 4583
N9302598	5310 6054 5972 4538 2021 6290 744 3440
N9303261	3182
N9303455	7739 7067
N9303809	4644 2176 3311
N9303898	1744 7694 4629 3702 379 647
N9303954	3529 6376
N9304709	7033
N9305232	3193 5310 4715 3718 7299 1212
N9305270	7527 5310 6846 2455 2455
N9305329	6853
N9305355	4532 6245
N9305551	174
N9305916	2861 6512 869 3308 3386 148 5201 5310 2374 8019 4281 3296 7499 7617 6298 3114 1717 2927 8202
N9306072	7004
N9306121	1929
N9306272	4838 5310 1577 7715 4868 7025
N9306333	5310 7836
N9306650	626 1587
N9306732	7499
N9306770	6577 6331 6176 3492 5197 6941 6581 3093 6459
N9306867	7574 8311 8311 2422 5310 4567 8516 3765 2869 5938 5938 2190
N9307232	1636 7171 7715 3104 5768
N9307481	7346
N9307483	6733 5239 1772 5442 8102
N9307497	582 5310 5305 1492
N9307596	1034 3899 410 5760 5310 6517 5408 5408 2163 2163 3789 7681 6669 3104 6922 7151 4783 3806 4304 6070
N9307849	3068
N9307888	2709 8238
N9307996	7389 1752
N9308114	6592 1920
N9308119	7499 6797 6797
N9308410	3529 1993 4071 1117 7425 12 2163 4559 3582 1705 802 8324 7924 4841 3538 3538 5911 4919 3832
N9308483	1225 4727 8314 5337 8363 2163 6176 8249 3104 8112
N9308515	5310 6341 767 4841 6802
N9309023	5490 3386 5998
N9309162	8312 677 2670 7396
N9309352	4928 4841 4976 1258
N9309405	5451 4468 8324 7663 2856 5929 437
N9309605	8238
N9309647	7171
N9309777	7574 7499 7975 4164 3787
N9309808	7527 7389 7585 982 7329 1752
N9309825	2374 81 1872 7396 2190
N9309894	5065 5065 4787 1225 5120 6803 3585 3656 5337 2298 3143 2856 437 4534
N9310118	4998 1419 1953 5408 8202 546 3481
N9310145	7389 7327 2826 6797
N9310196	437
N9310212	4918
N9310238	5310 8192
N9310475	5214 5214 1906 5207 7286 81
N9310497	7626 5310 1566 5913 3130 1123 8229 2856 348
N9310736	3529 8108 3723 3497 5337 6176 3478 4639 437
N9310747	3386 2146 1907
N9310855	4222 5310 2374 2244 2157 7499 4091 987 1724 1542
N9310988	5310
N9311172	3500 7210 7210 7210
N9311248	1577 2793 8008 1333
N9311325	3484 2163 4880
N9311378	6410 6410
N9311516	7389 785 8315 8316 677 2632 4928 2500 6282 1492 1752 7836
N9311529	7389 5760 7499 193 5768 8202
N9311547	2092 387 4456 3391 3893 7899 4092 7284 5103 7836 623 5029
N9311568	473 7312 6680 6577 8083 3333 8324 1456 3479 8388 2010 2624 8410 8202
N9311740	2163 5103
N9312829	3500 1225 4550 5310 7171 2298 3573 7120 4719 5768 3440
N9312906	5333 6091
N9312915	4351 81 3440 2190
N9312996	676 8019 6379 8202
N9313051	892 5310 6124 5009
N9313126	3557
N9313134	2374 4841 3440
N9313205	2736 5310 7171 8316 2826 2053 1682
N9313222	7070 3325 2185 7499 3411 3787 3787 3787 7396
N9313321	1327
N9313389	437
N9313431	8526 5310 5967 5884 7193
N9313463	5427 4050 2626 6352
N9313629	8311
N9314100	5310 2374 3094 6127 7499 7663 1724 1542
N9314742	2374 1577 8533 492 492
N9315292	8311 7491 7396
N9315417	7521 6743 2605
N9315550	7521 2380 6743 2437 2605 2605
N9315645	2605
N9316205	6496 1416 4071 7463 7608 4133 1198 7380 2856 7320
N9316314	8316 5411
N9316385	7527 785 5310 3718 8091 5121 3793 2388 2447 6184 1606 5929
N9316440	2003 4071 6098 7335 4133 282 4841 348 3440 8202 3832 4015 4015
N9316521	5310 2127 1641 6127 6127 7729 477 7663 2856 5779 5878 1649 1649
N9316553	6677 7433 7663 7879 8231 1649
N9316584	8091 7729 2856 5310 7171 1641 1577 6127 8091 7729 2856 1649
N9316611	7499
N9316648	3718
N9316764	3315 2374
N9316786	5310 7357
N9316796	6980 2579 4962
N9316850	4962
N9317048	4786 2626
N9317050	1137 751
N9317086	1137
N9317109	2794 3094 1015 7499 1752
N9317151	1225 5310 7499 1542
N9317172	7521 5310 2495 1510 4687 4028 6743 1981 3765 7255 2869 8275 2024 3397 6225 4264 560
N9317692	6307 2582 1962 5956 3680 4687 3698 110 437 8202
N9317841	2320 3094 3492 7226 7210 1572
N9317852	2533 1969
N9318041	1679 6176 6997 7499 6345 1679 6176 6997 7499 6345
N9318244	4113 1906 1577
N9318806	3093
N9319120	4880 5768 437
N9319184	1586
N9319221	5103 4170
N9319286	3094 2546 5912 7396
N9319311	6030 4583
N9319499	715 4071 7703 5712 2163 3689 4559 4559 7251 7327 8324 4698 2256 1724 2108 1902 3879 3832
N9319607	6496 5310 2374 5876 6176 4899 6290 744
N9319718	3605 7499
N9320082	5310 7250 5780 7499 1687 1492 2454 2856 5768 450 788
N9320136	7389 7632 5310 1098 1052 4928 2637 7121
N9320188	4741 4741
N9320810	5310 7499 5971 5189 1123 4722 5768 348
N9320980	5310 1637 78
N9321063	5310 7327 7499 272 2826 4820 437 5310 7327 7499 272 2826 4820 437
N9321156	7299 1015 6452
N9321193	1577
N9321309	5331 5184 1572
N9321454	5422 812 5865 3972 3822 7197 4743 4743 8144 7065 5982 269 4278 3479 164 372 2010 1413 5999 1163 8202 1870 5445 2873 1571 8077
N9321527	2117 5310 4715 1577 5507 4183 1479 5473 8202
N9321558	8149 4255 1906
N9321563	7474 1906 3233 5185 8091 2720 7597 6940 1572 7836 2328
N9321616	3897 3832
N9321665	5442
N9321747	7501 7501 5310 6176 2127 5913 6527 1542 4200 4200
N9321777	6496 5310 4715 6176 7171 7756 6098 6290 744 4841 7711 3440
N9322058	5870 1906 5085 1572 8414
N9322187	5791 5310 6176 2127 7499 89 4450
N9322406	5310 1207
N9322996	7715 6737 5768 8202
N9323159	2176 1890 1015 1278 6101 7499 1752 3836 4105
N9323163	5310
N9323530	5310 8316 5682 2500 1492 728
N9323566	6757 1470 1572
N9323579	6496 5310 2787 4229 8202 3832 4796
N9323653	785 3821 3821 7499 2751 3189 7721
N9323766	5310 5957 1752 2935 3860
N9324787	3764 1577 1532 6540 2545 4820 7042
N9324861	1225 5310 3816 3662 1572 7879 7042 7062
N9326454	4547
N9326499	7199 6008 877 4969 8107 8107 8107 8159 8202
N9326861	3500 5310 7499 81
N9326902	6997
N9326966	6997
N9327015	7175
N9327229	3500 2541
N9327292	1752
N9327325	2592 1993 688 7425 5310 2374 3656 5386 6398 333 1302
N9327352	3010
N9327378	3787 3787
N9327511	4715 7404
N9327524	5310 2127 3886 8249 3662 7663 6527 6059 1542
N9327541	155 570
N9327559	7527 6624 5439 5439 5088 6980 3709 3631 1906 1906 5207 5310 1546 6550 4725 383 1654 3886 8213 3208 2999 1383 2452 7412 6126 5189 78 6933 3787 788
N9327569	5969
N9327843	383 4498
N9327863	2670
N9327876	5310 2374 2541
N9327888	7499 7232
N9327966	338 7583
N9327973	7840 6577 5197 7144 2127 2472 4547 6932
N9328168	5310 3094 5337 5978 2127 7756 7454 5316 1724 2856
N9328198	3396 802 3573 5442 4841 3440 8202
N9328812	6997 7499 1123 5494 7404 4895
N9328859	5310
N9328900	7171 2127 6944 3104 437 8202
N9329150	3500 2541
N9329568	3899 5973 5310 2140 7906 7499 6074 1763 6144 2202 4868 2116 6856 716 7663 7969 1954 850 8414 7193 4976 8371 4890
N9329631	3780 3667 387 6997 7911 1565 1929 6210 3536
N9329683	2856
N9329812	7840 5595 1211 5226 4189 390 6712 1314
N9329860	5310 2870
N9330198	3780 2248 7831 5199
N9330229	2541 1577 7499
N9330254	1752 1138 623
N9330306	6940
N9330353	3500 785 2971 8316 7499
N9330424	7527 3659 2869
N9330469	5310 635 1346 5930 4845
N9331643	5310
N9331657	5310 2127 2298 2632 1492
N9331676	6268 1725
N9331698	2626
N9332150	785 3821 2751 78 6314 4167
N9332527	2350 6816 5310 7715 4322
N9332938	7171
N9333069	6176 7087 7210 8202
N9333073	207 7389 5451 5310 6176 2466 348 437
N9333140	3500 2430 2720 1935 6261
N9333256	7585 6165 5085 3075 875 5709 2328
N9333697	7389
N9334045	7633
N9334556	246
N9335113	7501 7501 5310 5875 5913 5556 1542 1542 437 4200
N9335601	2092 4036 5310 7054 4092 8008 4433 5103 623
N9336383	5042 1152 1345
N9336622	2248 5310 2541 6997
N9336656	1752
N9336775	5340
N9336792	1993 5197 5197 6941 8016
N9336828	3500
N9336844	2385
N9336852	5329
N9336858	3718
N9336900	7020
N9337013	1974 7171 7234 4841 3440
N9337515	6260 5310 4761 3703 5682 3963 8411 5938
N9337517	3500 5265 6176 8057 4990 5768 437 7711 8202 3627
N9337526	7499 388
N9337576	155 3386 5310 7171 3822 6886 8144 822 6857 7715 3674 7404 8202
N9337721	7499 4529 850 7509 7030
N9337779	7527 5310 2455 2455 7029
N9337864	999 4013 4550 5310 3764 5308 4091 1524 6499 6499 7441 7653 7653 6682
N9337903	744 4841
N9337923	7936 2163 6176 6625 2021 7907 7608 4790 7380 7380 967 282 4841 683 437 3440 3205 8202 3832 6747 3065
N9338050	5310
N9338581	1248
N9338654	207 7389 2466 348 437
N9338683	7491 8113 7396
N9338762	5310 2206 6638 7882 4066 4066 5960 5768
N9338823	3233 3772 2637 1572 4372
N9338865	5310
N9338997	5197 6941 7593 3093 3093 7248 2572
N9339050	2736 6307 5451 2127 6206 2298 1704 4468 6951 8008 7663 157 3321 437
N9339806	4091 7441
N9339835	8014 7499 4632
N9339881	2032
N9339896	6373 8332 7011
N9339920	7389 3532 2839 187 5310 1015 1495 7499 2720 3660 6957 5872 5189 51 7836 6403 1695
N9339998	5884 6928
N9340300	5618 5310 1641 7837 1505 7232 3104 2856 5779 1649
N9340369	1225 2374 2298 6127 6059 1649
N9340395	4550 3894 2447 6682
N9340633	7389 7171
N9340973	2631 6894 6894 6680 1225 6561 755 60 4653 726 3479 3104 6781 5430 5960 100 5776 5768
N9341081	3308 5310 7575 4690 1926
N9341132	785 3821 8316 2751 3189 1492
N9341193	6496 7936 6176 6341 5513 6098 7927 1537 767 3573 7380 4841 3440 3205 8202 3832
N9341265	8433 8109 8316 3884 4314
N9341375	384
N9341574	5972 1264 5513 2021 5282 4966 1645 7396 2734 3440
N9341580	2003 5310 3252 1672
N9341721	5618 7964
N9342399	8091
N9342410	4019 5310 7171 1577 7499 4583 7396
N9342537	500 6611 8213 635 1925
N9343255	3764 7661 2826
N9343320	5753 5265 5310 2931 2827 424 7809 1569 7396
N9343926	1163 8202 631
N9344135	5310 8530
N9344231	7389 7585 2176 7491 7498 4715 4509 6757 6124 2962 4749 5343 1954 81 3787 3787 7396
N9344456	6127 1649
N9344619	2430
N9344641	6091
N9344672	4703 2044
N9344834	7499
N9344853	3662 3301
N9344896	2736 2127 3516 4904 3662 7663 424 3727 7396
N9344914	7499 8052
N9344933	2176 5839 5839
N9344951	4372
N9344965	5310
N9345280	4555 3500 528 4592 6940
N9345613	1906
N9345728	8000 2626
N9346184	257 4468 7715 7663 6527 6059 6059 6059 7879 2995
N9346194	4681
N9346360	7678 2106
N9346364	3315 5310 1490
N9346458	8105 4550 3764 3462 1066 5884 7121 3894 2826 2447 6682
N9346664	785 3903 6980 5310 5551 4899 383 1505 4833 8091 5708 7499 1752 5762 4642 5764 7835 6049
N9346745	7171 1577 1099
N9346757	5310
N9346767	3868 7390 6127 1649
N9346855	8530 2447 2626
N9347195	8332 6245
N9347277	4175 7879
N9347434	3479
N9347442	1577
N9347629	3500 7899
N9347766	5310
N9347779	3311
N9347784	3500 3493 410 1679 5452 4174 765 1706 4646 3836 312 4690 450
N9347877	4040 4879
N9347884	133 3916 1641 342 4183 6138 6268 887
N9348112	7389 3500 5310 7499
N9348631	3141 1484 4833 7499 7715 5735
N9348716	8129 2745 5201 4506 6654 3737 7499
N9348792	8530 6019 3462 2447
N9348897	6125 5310 1015 6124 5677 1986
N9349055	6302 1679 7499 6345
N9349097	2548 5310 8323 5978 3789 5768
N9349099	7171 1577
N9349120	4841
N9349149	8530 2447
N9349162	2374 6127 6059 1649
N9349239	5310 2374 7451 81 8202
N9349250	5485
N9349312	3462 2447 2626
N9349406	5310 2374 3963
N9349522	4552 7499 7879 1542
N9349924	8274 5310 7433 2127 1505 7663 2856 5779 1649
N9349942	5618 5310 257 6853 5085 6127 7499 4928 8393 1816 2061 7663 893 1542 7042 1649
N9349975	2447
N9350314	8274 7433 1542
N9350546	7171 324
N9350803	7879 2061
N9351139	7527
N9351482	999 7527 3764 4820
N9351610	5310 2905 6951 5103
N9351623	3440 3205
N9351678	6940
N9351731	7499
N9351796	2374 3559
N9351829	7389 4673 246
N9351830	6634
N9351938	5197 2127 6941 6941 5820 4891 2037 6639 2061 6626 437 6932
N9351978	6558
N9351989	7840 7889 8029 1577 6812 6712 6261 7396 5084 7840 7889 8029 1577 6812 6712 6261 7396 5084
N9352938	4868 5691 5691 5036
N9352942	2997 1577 2452 2279 2474
N9353079	7585 7798 3903 8245 6645 2524 8052 3531 7499 850 6110 6764 4690 7852
N9353199	7605 6200 6645 5624 5708 5649 7499
N9353358	4727 7171 1577 1198 6268 6582
N9353420	680 7846 6076 4650 6932
N9353704	6912
N9353833	5310 2127 1641 6479 2298 6127 3787 6352 1649
N9353901	6647 1577 6322 988 557
N9354663	1910
N9354813	3656 4686 3272 3272 7499 5125 7810 3787 2734
N9354897	6104 6047 5146 5960 5768
N9355046	1577
N9355377	6091 8316 1910
N9355501	5956 1540 233
N9356137	2480 2480 7840 484 7962 5310 3491 2619 2059 269 1747 2598 1954 1724 1126 1126 1487 2856 8202
N9356238	3859
N9356679	4708 5310 905 6011 4899 8202
